Rk_x,Player,Age_x,Team_x,Pos_x,G_x,GS_x,QBrec,Cmp,Att_x,Cmp%,Yds_x,TD_x,TD%,Int,Int%,1D_x,Succ%_x,Lng_x,Y/A_x,AY/A,Y/C,Y/G_x,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards_x,Player-additional,Rk_y,Age_y,Team_y,Pos_y,G_y,GS_y,Att_y,Yds_y,TD_y,1D_y,Succ%_y,Lng_y,Y/A_y,Y/G_y,A/G,Fmb_x,Awards_y,-9999_x,Rk,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb_y,Awards,-9999_y,Total_Yards,Season_Label
0.0,Alvin Kamara,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,40.0,30.0,NOR,RB,11.0,11.0,131.0,471.0,1.0,21.0,42.0,18.0,3.6,42.8,11.9,2.0,0,KamaAl00,131.0,30.0,NOR,RB,11.0,11.0,39.0,33.0,186.0,5.6,0.0,7.0,33.3,26.0,3.0,16.9,84.6,4.8,2.0,0,KamaAl00,0,Elite
0.0,Amar Johnson,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,272.0,22.0,LAC,RB,2.0,0.0,2.0,8.0,0.0,0.0,50.0,6.0,4.0,4.0,1.0,0.0,0,JohnAm00,520.0,22.0,LAC,RB,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,JohnAm00,0,Elite
0.0,Ameer Abdullah,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,148.0,32.0,IND,RB,13.0,0.0,14.0,60.0,1.0,3.0,42.9,14.0,4.3,4.6,1.1,1.0,0,AbduAm00,224.0,32.0,IND,RB,13.0,0.0,17.0,16.0,99.0,6.2,0.0,4.0,41.2,15.0,1.2,7.6,94.1,5.8,1.0,0,AbduAm00,0,Elite
0.0,Amon-Ra St. Brown,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,252.0,26.0,DET,WR,17.0,17.0,3.0,9.0,0.0,1.0,33.3,6.0,3.0,0.5,0.2,1.0,PBAP-2,StxxAm00,5.0,26.0,DET,WR,17.0,17.0,172.0,117.0,1401.0,12.0,11.0,71.0,55.2,52.0,6.9,82.4,68.0,8.1,1.0,PBAP-2,StxxAm00,0,Elite
0.0,Andre Baccellia,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,347.0,28.0,ARI,WR,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BaccAn00,397.0,28.0,ARI,WR,5.0,2.0,4.0,2.0,8.0,4.0,0.0,0.0,25.0,5.0,0.4,1.6,50.0,2.0,0.0,0,BaccAn00,0,Elite
0.0,Andrei Iosivas,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,245.0,26.0,CIN,WR,17.0,9.0,3.0,14.0,0.0,0.0,66.7,5.0,4.7,0.8,0.2,0.0,0,IosiAn00,130.0,26.0,CIN,WR,17.0,9.0,58.0,33.0,435.0,13.2,2.0,24.0,44.8,37.0,1.9,25.6,56.9,7.5,0.0,0,IosiAn00,0,Elite
0.0,Andrew Beck,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,289.0,29.0,NYJ,FB,17.0,2.0,1.0,5.0,0.0,1.0,100.0,5.0,5.0,0.3,0.1,0.0,0,BeckAn01,329.0,29.0,NYJ,FB,17.0,2.0,9.0,6.0,45.0,7.5,2.0,4.0,66.7,17.0,0.4,2.6,66.7,5.0,0.0,0,BeckAn01,0,Elite
0.0,Andrew Ogletree,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,493.0,27.0,IND,TE,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,OgleAn00,363.0,27.0,IND,TE,15.0,5.0,6.0,4.0,27.0,6.8,1.0,2.0,66.7,11.0,0.3,1.8,66.7,4.5,0.0,0,OgleAn00,0,Elite
57.0,Andy Dalton,38.0,CAR,QB,4.0,1.0,0-1-0,25.0,37.0,67.6,293.0,1.0,2.7,1.0,2.7,17.0,46.7,33.0,7.9,7.24,11.7,73.3,89.1,13.1,8.0,54.0,17.78,5.31,4.76,0.0,0.0,0,DaltAn00,217.0,38.0,CAR,QB,4.0,1.0,5.0,-2.0,0.0,0.0,0.0,1.0,-0.4,-0.5,1.3,2.0,0,DaltAn00,499.0,38.0,CAR,QB,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,DaltAn00,0,Elite
0.0,Anthony Firkser,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,401.0,30.0,DET,TE,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FirkAn00,307.0,30.0,DET,TE,7.0,4.0,10.0,8.0,53.0,6.6,0.0,4.0,40.0,18.0,1.1,7.6,80.0,5.3,0.0,0,FirkAn00,0,Elite
