Rk,player,age,team,pos,G,GS,QBrec,Cmp,Att,Cmp%,pass_yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional,Rk_rush,age_rush,team_rush,pos_rush,G_rush,GS_rush,Att_rush,rush_yds,TD_rush,1D_rush,Succ%_rush,Lng_rush,Y/A_rush,Y/G_rush,A/G,Fmb,Awards_rush,-9999,Rk_rec,age_rec,team_rec,pos_rec,G_rec,GS_rec,Tgt,Rec,rec_yds,Y/R,TD_rec,1D_rec,Succ%_rec,Lng_rec,R/G,Y/G_rec,Ctch%,Y/Tgt,Fmb_rec,Awards_rec,-9999_rec,Total_Yards,score,pct_rank,Season_Label
0.0,Adonai Mitchell,23.0,IND,WR,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,317.0,23.0,IND,WR,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,MitcAd00,137.0,23.0,IND,WR,8.0,1.0,16.0,9.0,152.0,16.9,0.0,2.0,37.5,75.0,1.1,19.0,56.3,9.5,1.0,0,MitcAd00,152.0,152.0,0.4519230769230769,Underperformed
0.0,Adonai Mitchell,23.0,IND,WR,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,317.0,23.0,IND,WR,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,MitcAd00,137.0,23.0,NYJ,WR,8.0,4.0,58.0,24.0,301.0,12.5,2.0,13.0,36.2,52.0,3.0,37.6,41.4,5.2,0.0,0,MitcAd00,301.0,301.0,0.6538461538461539,Good
0.0,Adonai Mitchell,23.0,NYJ,WR,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,317.0,23.0,NYJ,WR,8.0,4.0,1.0,-4.0,0.0,0.0,0.0,-4.0,-4.0,-0.5,0.1,0.0,0,MitcAd00,137.0,23.0,2TM,WR,16.0,5.0,74.0,33.0,453.0,13.7,2.0,15.0,36.5,75.0,2.1,28.3,44.6,6.1,1.0,0,MitcAd00,449.0,453.0,0.7724358974358975,Good
0.0,Adonai Mitchell,23.0,NYJ,WR,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,317.0,23.0,NYJ,WR,8.0,4.0,1.0,-4.0,0.0,0.0,0.0,-4.0,-4.0,-0.5,0.1,0.0,0,MitcAd00,137.0,23.0,IND,WR,8.0,1.0,16.0,9.0,152.0,16.9,0.0,2.0,37.5,75.0,1.1,19.0,56.3,9.5,1.0,0,MitcAd00,148.0,152.0,0.4519230769230769,Underperformed
0.0,Adonai Mitchell,23.0,NYJ,WR,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,317.0,23.0,NYJ,WR,8.0,4.0,1.0,-4.0,0.0,0.0,0.0,-4.0,-4.0,-0.5,0.1,0.0,0,MitcAd00,137.0,23.0,NYJ,WR,8.0,4.0,58.0,24.0,301.0,12.5,2.0,13.0,36.2,52.0,3.0,37.6,41.4,5.2,0.0,0,MitcAd00,297.0,301.0,0.6538461538461539,Good
0.0,Adrian Martinez,25.0,SFO,QB,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,315.0,25.0,SFO,QB,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0,MartAd00,536.0,25.0,SFO,QB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,MartAd00,-1.0,0.0,0.04205607476635514,Underperformed
63.0,Aidan O'Connell,27.0,LVR,QB,1.0,0.0,0,10.0,22.0,45.5,102.0,0.0,0.0,0.0,0.0,5.0,30.4,23.0,4.6,4.64,10.2,102.0,59.3,16.3,1.0,5.0,4.35,4.22,4.22,1.0,1.0,0,OConAi00,320.0,27.0,LVR,QB,1.0,0.0,1.0,7.0,0.0,0.0,0.0,7.0,7.0,7.0,1.0,0.0,0,OConAi00,552.0,27.0,LVR,QB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,OConAi00,109.0,102.0,0.17757009345794392,Underperformed
0.0,Albert Okwuegbunam,27.0,LVR,TE,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,495.0,27.0,LVR,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,OkwuAl00,348.0,27.0,LVR,TE,1.0,0.0,6.0,5.0,36.0,7.2,0.0,2.0,50.0,16.0,5.0,36.0,83.3,6.0,0.0,0,OkwuAl00,36.0,36.0,0.3626760563380282,Underperformed
0.0,Alec Ingold,29.0,MIA,FB,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,270.0,29.0,MIA,FB,17.0,10.0,2.0,9.0,0.0,1.0,50.0,6.0,4.5,0.5,0.1,0.0,0,IngoAl01,308.0,29.0,MIA,FB,17.0,10.0,11.0,8.0,52.0,6.5,0.0,4.0,36.4,22.0,0.5,3.1,72.7,4.7,0.0,0,IngoAl01,61.0,52.0,0.8,Good
0.0,Alec Pierce,25.0,IND,WR,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,507.0,25.0,IND,WR,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,PierAl00,76.0,25.0,IND,WR,15.0,14.0,84.0,47.0,1003.0,21.3,6.0,41.0,54.8,66.0,3.1,66.9,56.0,11.9,0.0,0,PierAl00,1003.0,1003.0,0.9439102564102564,Elite
0.0,Alex Bachman,29.0,LVR,WR,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,348.0,29.0,LVR,WR,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,BachAl00,398.0,29.0,LVR,WR,13.0,0.0,3.0,2.0,12.0,6.0,0.0,2.0,66.7,9.0,0.2,0.9,66.7,4.0,1.0,0,BachAl00,12.0,12.0,0.07692307692307693,Underperformed
0.0,Alex Cappa,30.0,LVR,G,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,372.0,30.0,LVR,G,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,CappAl00,492.0,30.0,LVR,G,17.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,CappAl00,0.0,0.0,1.0,Elite
0.0,Allen Lazard,30.0,NYJ,WR,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,458.0,30.0,NYJ,WR,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,LazaAl00,284.0,30.0,NYJ,WR,10.0,2.0,18.0,10.0,70.0,7.0,1.0,4.0,38.9,10.0,1.0,7.0,55.6,3.9,0.0,0,LazaAl00,70.0,70.0,0.2932692307692308,Underperformed
0.0,Alvin Kamara,30.0,NOR,RB,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,40.0,30.0,NOR,RB,11.0,11.0,131.0,471.0,1.0,21.0,42.0,18.0,3.6,42.8,11.9,2.0,0,KamaAl00,131.0,30.0,NOR,RB,11.0,11.0,39.0,33.0,186.0,5.6,0.0,7.0,33.3,26.0,3.0,16.9,84.6,4.8,2.0,0,KamaAl00,657.0,657.0,0.770949720670391,Good
0.0,Amar Johnson,22.0,LAC,RB,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,272.0,22.0,LAC,RB,2.0,0.0,2.0,8.0,0.0,0.0,50.0,6.0,4.0,4.0,1.0,0.0,0,JohnAm00,520.0,22.0,LAC,RB,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,JohnAm00,8.0,8.0,0.1005586592178771,Underperformed
0.0,Ameer Abdullah,32.0,IND,RB,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,148.0,32.0,IND,RB,13.0,0.0,14.0,60.0,1.0,3.0,42.9,14.0,4.3,4.6,1.1,1.0,0,AbduAm00,224.0,32.0,IND,RB,13.0,0.0,17.0,16.0,99.0,6.2,0.0,4.0,41.2,15.0,1.2,7.6,94.1,5.8,1.0,0,AbduAm00,159.0,159.0,0.5139664804469274,Good
0.0,Amon-Ra St. Brown,26.0,DET,WR,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,252.0,26.0,DET,WR,17.0,17.0,3.0,9.0,0.0,1.0,33.3,6.0,3.0,0.5,0.2,1.0,PBAP-2,StxxAm00,5.0,26.0,DET,WR,17.0,17.0,172.0,117.0,1401.0,12.0,11.0,71.0,55.2,52.0,6.9,82.4,68.0,8.1,1.0,PBAP-2,StxxAm00,1410.0,1401.0,0.9871794871794872,Elite
0.0,Andre Baccellia,28.0,ARI,WR,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,347.0,28.0,ARI,WR,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BaccAn00,397.0,28.0,ARI,WR,5.0,2.0,4.0,2.0,8.0,4.0,0.0,0.0,25.0,5.0,0.4,1.6,50.0,2.0,0.0,0,BaccAn00,8.0,8.0,0.06570512820512821,Underperformed
0.0,Andrei Iosivas,26.0,CIN,WR,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,245.0,26.0,CIN,WR,17.0,9.0,3.0,14.0,0.0,0.0,66.7,5.0,4.7,0.8,0.2,0.0,0,IosiAn00,130.0,26.0,CIN,WR,17.0,9.0,58.0,33.0,435.0,13.2,2.0,24.0,44.8,37.0,1.9,25.6,56.9,7.5,0.0,0,IosiAn00,449.0,435.0,0.7532051282051282,Good
0.0,Andrew Beck,29.0,NYJ,FB,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,289.0,29.0,NYJ,FB,17.0,2.0,1.0,5.0,0.0,1.0,100.0,5.0,5.0,0.3,0.1,0.0,0,BeckAn01,329.0,29.0,NYJ,FB,17.0,2.0,9.0,6.0,45.0,7.5,2.0,4.0,66.7,17.0,0.4,2.6,66.7,5.0,0.0,0,BeckAn01,50.0,45.0,0.7,Good
0.0,Andrew Ogletree,27.0,IND,TE,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,493.0,27.0,IND,TE,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,OgleAn00,363.0,27.0,IND,TE,15.0,5.0,6.0,4.0,27.0,6.8,1.0,2.0,66.7,11.0,0.3,1.8,66.7,4.5,0.0,0,OgleAn00,27.0,27.0,0.31690140845070425,Underperformed
